map_label,num_detections,object_index,object_voxels,scale,scene,score__combined_mean,score__combined_top2_mean,score__foreign_owner_link_fraction,score__fragmentation,score__framebalanced_majority_entropy,score__framebalanced_majority_entropy_size_residual,score__framebalanced_mean_disagreement,score__framebalanced_mean_disagreement_size_residual,score__framebalanced_semantic_mean,score__frozen_combined_max,score__frozen_semantic_max,score__mean_owner_entropy,score__mean_owner_entropy_size_residual,score__multi_owner_voxel_fraction,score__nonspatial_owner_label_entropy,score__owner_overlap_mean,score__pair_conflict,score__persistent_conflict_fraction,score__semantic_mean,score__size_num_detections,score__size_object_voxels,score__voxel_majority_entropy,score__voxel_mean_disagreement,score__voxel_second_fraction,score__voxel_second_region,score__voxel_second_region_size_residual,score__voxel_vote_entropy,target__geometry_overmerge_2cm,target__geometry_overmerge_5cm,target__geometry_overmerge_7cm,target__geometry_partition_2cm,target__geometry_partition_5cm,target__geometry_partition_7cm,target__sidecar_conservative_association,target__sidecar_conservative_mask,target__sidecar_conservative_unified,target__sidecar_original_association,target__sidecar_original_mask,target__sidecar_original_unified,target__sidecar_strict_association,target__sidecar_strict_mask,target__sidecar_strict_unified
coffee kettle,196,10,95,0.05,room0,0.4710144927536232,0.5688405797101449,0.37681159420289856,0.45652173913043476,0.4782608695652174,0.4492753623188406,0.9855072463768116,0.927536231884058,0.7318840579710145,0.9710144927536232,0.9710144927536232,0.5072463768115942,0.43478260869565216,0.4492753623188406,0.7101449275362319,0.4444444444444445,0.2753623188405797,0.9420289855072463,0.6811594202898551,0.8115942028985508,0.43478260869565216,0.5507246376811594,0.9710144927536232,0.4927536231884058,0.5217391304347826,0.5072463768115942,0.5797101449275363,,,,,,,,0,0,0,1,1,,0,0
book,69,11,71,0.05,room0,0.6264090177133655,0.711352657004831,0.7391304347826086,0.45652173913043476,0.9855072463768116,0.9855072463768116,0.7681159420289855,0.7246376811594203,0.8260869565217392,0.9855072463768116,0.9855072463768116,0.8840579710144928,0.8985507246376812,0.855072463768116,0.5942028985507246,0.8260869565217392,0.5869565217391305,0.7101449275362319,0.8357487922705314,0.5362318840579711,0.391304347826087,0.9855072463768116,0.6811594202898551,0.9710144927536232,0.8405797101449275,0.8405797101449275,0.6521739130434783,,,,,,,,1,1,1,1,1,,1,1
cabinet,251,12,1309,0.05,room0,0.5056360708534622,0.5301932367149759,0.2608695652173913,0.45652173913043476,0.36231884057971014,0.34782608695652173,0.6376811594202898,0.5652173913043478,0.5217391304347826,0.6376811594202898,0.6376811594202898,0.2608695652173913,0.42028985507246375,0.2463768115942029,0.6521739130434783,0.2560386473429952,0.5869565217391305,0.6666666666666666,0.4734299516908213,0.8985507246376812,0.927536231884058,0.36231884057971014,0.6376811594202898,0.37681159420289856,0.42028985507246375,0.37681159420289856,0.34782608695652173,,,,,,,,0,0,1,1,1,,0,0
poster,227,13,1042,0.05,room0,0.49516908212560384,0.6702898550724637,0.14492753623188406,0.45652173913043476,0.7536231884057971,0.7536231884057971,0.9710144927536232,0.9565217391304348,0.894927536231884,0.9855072463768116,0.9855072463768116,0.21739130434782608,0.36231884057971014,0.2028985507246377,0.7681159420289855,0.18840579710144925,0.14492753623188406,0.8695652173913043,0.8840579710144927,0.8695652173913043,0.9130434782608695,0.7391304347826086,0.927536231884058,1.0,0.9855072463768116,0.9565217391304348,0.5362318840579711,,,,,,,0,1,1,0,1,1,0,1,1
closet door,25,14,883,0.05,room0,0.3800322061191626,0.40700483091787437,0.7246376811594203,0.45652173913043476,0.2463768115942029,0.2753623188405797,0.6086956521739131,0.7101449275362319,0.4311594202898551,0.5652173913043478,0.5652173913043478,0.43478260869565216,0.6666666666666666,0.4057971014492754,0.7391304347826086,0.5217391304347826,0.32608695652173914,0.6086956521739131,0.357487922705314,0.4492753623188406,0.8840579710144928,0.2463768115942029,0.5652173913043478,0.2463768115942029,0.2608695652173913,0.2753623188405797,0.5217391304347826,,,,,,,,0,0,0,0,0,,0,0
sofa chair,3,15,136,0.05,room0,0.48067632850241543,0.5760869565217391,0.43478260869565216,0.45652173913043476,0.9130434782608695,0.927536231884058,0.6231884057971014,0.6956521739130435,0.7210144927536232,0.927536231884058,0.927536231884058,0.5362318840579711,0.5362318840579711,0.37681159420289856,0.9565217391304348,0.4492753623188406,0.2898550724637681,0.9420289855072463,0.6956521739130435,0.35507246376811596,0.5217391304347826,0.927536231884058,0.7536231884057971,0.7536231884057971,0.4057971014492754,0.4492753623188406,0.9420289855072463,,,,,,,,0,0,,1,1,,0,0
potted plant,27,16,102,0.05,room0,0.44847020933977455,0.5422705314009661,0.6231884057971014,0.45652173913043476,0.6956521739130435,0.6811594202898551,0.5072463768115942,0.4927536231884058,0.5942028985507246,0.7246376811594203,0.7246376811594203,0.4057971014492754,0.3188405797101449,0.3188405797101449,0.6231884057971014,0.4492753623188406,0.2608695652173913,0.4492753623188406,0.6280193236714976,0.463768115942029,0.47101449275362317,0.6956521739130435,0.463768115942029,0.6376811594202898,0.7246376811594203,0.7246376811594203,0.6666666666666666,,,,,,,,0,0,1,0,1,,0,0
lamp,29,17,4026,0.05,room0,0.5499194847020934,0.6847826086956521,0.4057971014492754,0.9130434782608695,0.3333333333333333,0.37681159420289856,0.18840579710144928,0.2608695652173913,0.2753623188405797,0.9130434782608695,0.34782608695652173,0.2028985507246377,0.37681159420289856,0.18840579710144928,0.9855072463768116,0.26570048309178745,0.45652173913043476,0.2463768115942029,0.2801932367149758,0.4782608695652174,0.9855072463768116,0.34782608695652173,0.15942028985507245,0.36231884057971014,0.3333333333333333,0.3333333333333333,0.2028985507246377,,,,,,,0,1,1,0,1,1,0,1,1
power outlet,31,18,12,0.05,room0,0.20531400966183574,0.2753623188405797,0.036231884057971016,0.45652173913043476,0.11594202898550725,0.028985507246376812,0.043478260869565216,0.014492753623188406,0.09420289855072464,0.45652173913043476,0.12318840579710146,0.036231884057971016,0.028985507246376812,0.036231884057971016,0.2391304347826087,0.036231884057971016,0.06521739130434782,0.09420289855072464,0.09420289855072463,0.4927536231884058,0.10869565217391304,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.12318840579710146,0.10144927536231885,0.043478260869565216,,,,,,,,0,0,1,0,1,,0,0
sofa chair,2,20,7,0.05,room0,0.5209339774557166,0.5531400966183575,0.782608695652174,0.45652173913043476,0.9710144927536232,0.9710144927536232,0.8115942028985508,0.8840579710144928,0.7119565217391304,0.9565217391304348,0.9565217391304348,0.9710144927536232,0.8115942028985508,0.7608695652173914,0.2391304347826087,0.8381642512077295,0.45652173913043476,0.9420289855072463,0.6497584541062803,0.2826086956521739,0.06521739130434782,0.9565217391304348,0.8695652173913043,0.9130434782608695,0.12318840579710146,0.18840579710144928,0.9855072463768116,,,,,,,,1,1,,1,1,,1,1
window,4,21,316,0.05,room0,0.5040257648953301,0.536231884057971,0.8115942028985508,0.45652173913043476,0.6811594202898551,0.7101449275362319,0.2608695652173913,0.34782608695652173,0.38768115942028986,0.6811594202898551,0.6811594202898551,0.9130434782608695,1.0,0.7391304347826086,0.2391304347826087,0.821256038647343,0.6159420289855072,0.21739130434782608,0.4396135265700483,0.39855072463768115,0.7246376811594203,0.6811594202898551,0.2463768115942029,0.6086956521739131,0.391304347826087,0.391304347826087,1.0,,,,,,,,0,0,0,0,1,,0,0
pillow,173,22,284,0.05,room0,0.5008051529790659,0.5591787439613526,0.5072463768115942,0.45652173913043476,0.8115942028985508,0.8115942028985508,0.5942028985507246,0.5217391304347826,0.6521739130434783,0.7681159420289855,0.7681159420289855,0.7391304347826086,0.9130434782608695,0.6521739130434783,0.5652173913043478,0.6328502415458938,0.38405797101449274,0.5362318840579711,0.6618357487922705,0.7391304347826086,0.7101449275362319,0.7681159420289855,0.5507246376811594,0.6811594202898551,0.6666666666666666,0.6521739130434783,0.5507246376811594,,,,,,,,0,0,1,0,1,,0,0
sofa chair,81,23,515,0.05,room0,0.48953301127214166,0.5422705314009661,0.6086956521739131,0.45652173913043476,0.5652173913043478,0.5652173913043478,0.782608695652174,0.9130434782608695,0.6557971014492754,0.7246376811594203,0.7246376811594203,0.6231884057971014,0.8405797101449275,0.6376811594202898,0.9130434782608695,0.6231884057971014,0.38405797101449274,0.6811594202898551,0.6280193236714976,0.5869565217391305,0.8260869565217391,0.5652173913043478,0.7246376811594203,0.5072463768115942,0.5942028985507246,0.5942028985507246,0.8260869565217391,,,,,,,,0,0,1,0,1,,0,0
end table,1,24,36,0.05,room0,0.5772946859903382,0.6376811594202898,0.7681159420289855,0.45652173913043476,0.6014492753623188,0.6086956521739131,0.5362318840579711,0.6666666666666666,0.6177536231884058,0.7536231884057971,0.7536231884057971,1.0,0.9855072463768116,0.8043478260869565,0.2391304347826087,0.8574879227053139,0.6594202898550725,0.5797101449275363,0.6159420289855072,0.12318840579710146,0.2753623188405797,0.6014492753623188,0.4927536231884058,0.5579710144927537,0.7536231884057971,0.7681159420289855,0.5942028985507246,,,,,,,,0,0,,0,0,,0,0
sofa chair,1,25,42,0.05,room0,0.34380032206119165,0.43236714975845414,0.30434782608695654,0.45652173913043476,0.11594202898550725,0.17391304347826086,0.2028985507246377,0.2898550724637681,0.13405797101449277,0.9855072463768116,0.9855072463768116,0.2898550724637681,0.13043478260869565,0.17391304347826086,0.2391304347826087,0.2560386473429952,0.16666666666666666,0.09420289855072464,0.40821256038647347,0.12318840579710146,0.3188405797101449,0.11594202898550725,0.9855072463768116,0.11594202898550725,0.12318840579710146,0.14492753623188406,0.30434782608695654,,,,,,,,0,0,,0,0,,0,0
ceiling light,1,26,327,0.05,room0,0.4235104669887278,0.6026570048309178,0.4927536231884058,0.45652173913043476,0.5797101449275363,0.6376811594202898,0.36231884057971014,0.6376811594202898,0.6594202898550724,0.9710144927536232,0.9710144927536232,0.4492753623188406,0.5507246376811594,0.2608695652173913,0.2391304347826087,0.40096618357487923,0.06521739130434782,0.7246376811594203,0.7487922705314008,0.12318840579710146,0.7391304347826086,0.5797101449275363,0.6956521739130435,0.5362318840579711,0.9710144927536232,0.9710144927536232,0.8985507246376812,,,,,,,,0,0,,0,0,,0,0
paper bag,81,27,237,0.05,room0,0.4710144927536232,0.605072463768116,0.2028985507246377,0.45652173913043476,0.5072463768115942,0.5217391304347826,0.8840579710144928,0.9420289855072463,0.75,0.8985507246376812,0.8985507246376812,0.30434782608695654,0.30434782608695654,0.2318840579710145,0.7971014492753623,0.2463768115942029,0.2028985507246377,0.782608695652174,0.7536231884057972,0.5869565217391305,0.6811594202898551,0.5362318840579711,0.8985507246376812,0.8695652173913043,0.8260869565217391,0.7971014492753623,0.7246376811594203,,,,,,,,0,0,0,0,0,,0,0
pillow,124,28,185,0.05,room0,0.45974235104669886,0.5157004830917874,0.5217391304347826,0.45652173913043476,0.8260869565217391,0.8405797101449275,0.4057971014492754,0.3333333333333333,0.5471014492753624,0.8260869565217391,0.8260869565217391,0.6811594202898551,0.7391304347826086,0.5507246376811594,0.2391304347826087,0.5845410628019324,0.34782608695652173,0.42028985507246375,0.5748792270531401,0.6666666666666666,0.6086956521739131,0.8260869565217391,0.36231884057971014,0.7391304347826086,0.5362318840579711,0.5362318840579711,0.5072463768115942,,,,,,,,1,1,,1,1,,1,1
pillow,1,29,53,0.05,room0,0.45491143317230276,0.6086956521739131,0.9130434782608695,0.45652173913043476,0.11594202898550725,0.18840579710144928,0.2463768115942029,0.36231884057971014,0.14492753623188406,0.7608695652173914,0.2028985507246377,0.42028985507246375,0.2753623188405797,0.9420289855072463,0.2391304347826087,0.7584541062801932,0.7608695652173914,0.09420289855072464,0.14734299516908214,0.12318840579710146,0.34057971014492755,0.11594202898550725,0.2028985507246377,0.11594202898550725,0.12318840579710146,0.13043478260869565,0.15942028985507245,,,,,,,,0,0,,0,0,,0,0
pillow,1,30,35,0.05,room0,0.6344605475040258,0.7234299516908212,0.9565217391304348,0.45652173913043476,0.6231884057971014,0.6231884057971014,0.463768115942029,0.6231884057971014,0.5181159420289855,0.9347826086956522,0.6231884057971014,0.5652173913043478,0.391304347826087,0.9420289855072463,0.2391304347826087,0.8212560386473431,0.9347826086956522,0.4927536231884058,0.5120772946859903,0.12318840579710146,0.2463768115942029,0.6231884057971014,0.42028985507246375,0.5797101449275363,0.4927536231884058,0.5217391304347826,0.4782608695652174,,,,,,,,0,0,,0,0,,0,0
pillow,225,31,230,0.05,room0,0.677938808373591,0.788647342995169,0.6376811594202898,0.45652173913043476,0.8405797101449275,0.8260869565217391,0.37681159420289856,0.2028985507246377,0.5797101449275363,0.9347826086956522,0.8405797101449275,0.6521739130434783,0.7246376811594203,0.7246376811594203,0.2391304347826087,0.6714975845410628,0.9347826086956522,0.36231884057971014,0.642512077294686,0.855072463768116,0.6666666666666666,0.8405797101449275,0.34782608695652173,0.7971014492753623,0.7391304347826086,0.7101449275362319,0.4492753623188406,,,,,,,1,1,1,1,1,1,1,1,1
pillow,1,32,26,0.05,room0,0.7761674718196456,0.8454106280193237,0.9420289855072463,0.9855072463768116,0.927536231884058,0.9420289855072463,0.43478260869565216,0.5072463768115942,0.6268115942028986,0.9855072463768116,0.9420289855072463,0.4782608695652174,0.21739130434782608,0.9420289855072463,0.2391304347826087,0.78743961352657,0.6376811594202898,0.37681159420289856,0.7053140096618358,0.12318840579710146,0.14492753623188406,0.9420289855072463,0.4057971014492754,0.8985507246376812,0.7681159420289855,0.782608695652174,0.43478260869565216,1,1,1,1,1,1,,0,0,,0,0,,0,0
pillow,608,33,1999,0.05,room0,0.573268921095008,0.6316425120772947,0.3333333333333333,0.45652173913043476,0.4492753623188406,0.43478260869565216,0.4782608695652174,0.30434782608695654,0.4927536231884058,0.7608695652173914,0.6086956521739131,0.37681159420289856,0.6086956521739131,0.391304347826087,0.7246376811594203,0.3671497584541063,0.7608695652173914,0.43478260869565216,0.5024154589371981,1.0,0.9420289855072463,0.4492753623188406,0.4492753623188406,0.5942028985507246,0.6086956521739131,0.5797101449275363,0.36231884057971014,,,,,,,1,1,1,1,1,1,1,1,1
coffee table,221,34,753,0.05,room0,0.4476650563607086,0.49275362318840576,0.3188405797101449,0.45652173913043476,0.4057971014492754,0.4057971014492754,0.2898550724637681,0.15942028985507245,0.36231884057971014,0.5289855072463768,0.43478260869565216,0.36231884057971014,0.5217391304347826,0.34782608695652173,0.2391304347826087,0.34299516908212563,0.5289855072463768,0.3188405797101449,0.35748792270531404,0.8405797101449275,0.8405797101449275,0.4057971014492754,0.2318840579710145,0.42028985507246375,0.43478260869565216,0.42028985507246375,0.14492753623188406,,,,,,,,1,1,1,1,1,0,1,1
cup,52,35,98,0.05,room0,0.5805152979066023,0.642512077294686,0.7536231884057971,0.45652173913043476,0.6666666666666666,0.6666666666666666,0.8260869565217391,0.8695652173913043,0.7789855072463768,0.8840579710144928,0.8840579710144928,0.6086956521739131,0.5942028985507246,0.5652173913043478,0.8260869565217391,0.642512077294686,0.5072463768115942,0.7391304347826086,0.7777777777777778,0.5072463768115942,0.4492753623188406,0.6666666666666666,0.782608695652174,0.855072463768116,0.8840579710144928,0.8840579710144928,0.8405797101449275,,,,,,,1,1,1,1,1,1,1,1,1
sofa chair,1,36,35,0.05,room0,0.5821256038647343,0.6811594202898551,1.0,0.45652173913043476,0.11594202898550725,0.15942028985507245,0.9130434782608695,0.9855072463768116,0.5235507246376812,0.9130434782608695,0.9130434782608695,0.34782608695652173,0.15942028985507245,0.9420289855072463,0.2391304347826087,0.7632850241545893,0.9057971014492754,0.9420289855072463,0.38405797101449274,0.12318840579710146,0.2463768115942029,0.11594202898550725,0.9130434782608695,0.11594202898550725,0.12318840579710146,0.15942028985507245,0.8695652173913043,0,0,0,1,1,1,,0,0,,0,0,,0,0
bottle,1,37,9,0.05,room0,0.5450885668276972,0.5893719806763285,0.8840579710144928,0.45652173913043476,0.6014492753623188,0.5797101449275363,0.7101449275362319,0.8115942028985508,0.6286231884057971,0.6811594202898551,0.6811594202898551,0.5507246376811594,0.2898550724637681,0.9420289855072463,0.2391304347826087,0.7922705314009661,0.5579710144927537,0.5217391304347826,0.6207729468599034,0.12318840579710146,0.08695652173913043,0.6014492753623188,0.5797101449275363,0.5579710144927537,0.6811594202898551,0.6956521739130435,0.5652173913043478,0,0,0,1,1,1,,0,0,,0,0,,0,0
armchair,426,38,816,0.05,room0,0.6489533011272142,0.7451690821256038,0.2463768115942029,0.45652173913043476,0.42028985507246375,0.42028985507246375,0.8695652173913043,0.7391304347826086,0.644927536231884,0.9057971014492754,0.855072463768116,0.2753623188405797,0.4057971014492754,0.2898550724637681,0.855072463768116,0.2705314009661836,0.9057971014492754,0.8115942028985508,0.5845410628019323,0.9565217391304348,0.855072463768116,0.42028985507246375,0.855072463768116,0.43478260869565216,0.4782608695652174,0.463768115942029,0.7681159420289855,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1
blinds,252,39,2998,0.05,room0,0.429951690821256,0.4384057971014493,0.07246376811594203,0.45652173913043476,0.2753623188405797,0.2463768115942029,0.7536231884057971,0.6811594202898551,0.5398550724637682,0.7101449275362319,0.7101449275362319,0.08695652173913043,0.2318840579710145,0.08695652173913043,0.927536231884058,0.08212560386473429,0.41304347826086957,0.855072463768116,0.4202898550724638,0.9130434782608695,0.9710144927536232,0.2753623188405797,0.7101449275362319,0.2753623188405797,0.2753623188405797,0.2608695652173913,0.4057971014492754,,,,,,,,1,1,,1,1,,1,1
pillow,1,40,35,0.05,room0,0.6940418679549114,0.8128019323671497,0.9855072463768116,0.45652173913043476,0.8695652173913043,0.8985507246376812,0.6666666666666666,0.7971014492753623,0.7427536231884058,0.8840579710144928,0.8840579710144928,0.6956521739130435,0.5797101449275363,0.9420289855072463,0.2391304347826087,0.8743961352657005,0.8478260869565217,0.5797101449275363,0.7777777777777777,0.12318840579710146,0.2463768115942029,0.8840579710144928,0.5942028985507246,0.8405797101449275,0.855072463768116,0.8695652173913043,0.7971014492753623,0,0,0,1,1,1,,0,0,,0,0,,0,0
pillow,228,41,130,0.05,room0,0.7069243156199677,0.8321256038647342,0.6956521739130435,0.45652173913043476,0.9565217391304348,0.9130434782608695,0.6521739130434783,0.4782608695652174,0.7789855072463768,0.9710144927536232,0.9710144927536232,0.7536231884057971,0.7971014492753623,0.7101449275362319,0.4782608695652174,0.7198067632850241,0.8478260869565217,0.6376811594202898,0.8164251207729468,0.8840579710144928,0.5072463768115942,0.9710144927536232,0.6086956521739131,0.927536231884058,0.8695652173913043,0.855072463768116,0.855072463768116,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
lamp,1,42,7,0.05,room0,0.3397745571658615,0.3804347826086957,0.8405797101449275,0.45652173913043476,0.11594202898550725,0.13043478260869565,0.5507246376811594,0.6521739130434783,0.33514492753623193,0.5362318840579711,0.5362318840579711,0.9420289855072463,0.7536231884057971,0.7608695652173914,0.2391304347826087,0.8478260869565218,0.30434782608695654,0.5507246376811594,0.2584541062801932,0.12318840579710146,0.06521739130434782,0.11594202898550725,0.5362318840579711,0.11594202898550725,0.12318840579710146,0.21739130434782608,0.927536231884058,,,,,,,,0,0,,0,0,,0,0
potted plant,77,43,178,0.05,room0,0.7463768115942028,0.8405797101449275,0.7101449275362319,0.9420289855072463,0.782608695652174,0.7971014492753623,0.5797101449275363,0.5942028985507246,0.6811594202898551,0.9420289855072463,0.8985507246376812,0.463768115942029,0.463768115942029,0.5362318840579711,0.8840579710144928,0.5700483091787439,0.5579710144927537,0.463768115942029,0.7391304347826088,0.5652173913043478,0.5507246376811594,0.7971014492753623,0.5217391304347826,0.8840579710144928,0.8985507246376812,0.8985507246376812,0.6086956521739131,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
coffee table,3,45,190,0.05,room0,0.2117552334943639,0.28502415458937197,0.18840579710144928,0.45652173913043476,0.11594202898550725,0.2028985507246377,0.11594202898550725,0.17391304347826086,0.14673913043478262,0.45652173913043476,0.12318840579710146,0.15942028985507245,0.14492753623188406,0.13043478260869565,0.2391304347826087,0.15942028985507245,0.06521739130434782,0.2318840579710145,0.11352657004830918,0.35507246376811596,0.6376811594202898,0.11594202898550725,0.10144927536231885,0.11594202898550725,0.12318840579710146,0.057971014492753624,0.13043478260869565,,,,,,,,0,0,,1,1,,1,1
radiator,3,46,458,0.05,room0,0.3083735909822866,0.3683574879227053,0.42028985507246375,0.45652173913043476,0.391304347826087,0.463768115942029,0.13043478260869565,0.21739130434782608,0.28260869565217395,0.45652173913043476,0.391304347826087,0.13043478260869565,0.2028985507246377,0.11594202898550725,0.2391304347826087,0.2222222222222222,0.18840579710144928,0.2898550724637681,0.2801932367149758,0.35507246376811596,0.8115942028985508,0.391304347826087,0.13043478260869565,0.34782608695652173,0.3188405797101449,0.3188405797101449,0.42028985507246375,,,,,,,,1,1,,1,1,,1,1
