predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
3,closet door,4,10,ceiling,4128,5026,26753,0.8213290887385595,0.15430045228572498,0.14928935662363024,0.042431065241955605,1.0762005709280762,False,False
3,closet door,5,14,undefined,1,5026,1893,0.00019896538002387584,0.0005282620179609086,0.00014455044810638914,0.015202702702702704,1.1430724532902186,False,False
3,closet door,6,21,lamp,542,5026,692,0.1078392359729407,0.7832369942196532,0.10471406491499227,0.08537549407114625,0.5323707433966521,True,False
3,closet door,21,4,chair,2989,5026,32812,0.5947075208913649,0.09109472144337437,0.08577003644293954,0.01313825875229384,1.3159165607283176,True,False
3,closet door,33,17,vent,408,5026,833,0.08117787504974135,0.4897959183673469,0.0748486516235553,0.06980906921241051,0.7135224559290364,False,False
3,closet door,34,58,table,1115,5026,26897,0.22184639872662157,0.04145443729783991,0.0361918982082576,0.011237924405519953,2.7109457251971336,True,False
3,closet door,40,32,undefined,61,5026,62,0.012136888181456426,0.9838709677419355,0.012134473841257211,0.004891304347826087,0.3359644143093712,False,False
4,chair,15,46,undefined,89,1233,90,0.07218167072181671,0.9888888888888889,0.07212317666126418,0.06896551724137931,0.23377415036426774,False,False
4,chair,17,50,switch,115,1233,117,0.09326845093268452,0.9829059829059829,0.0931174089068826,0.09195402298850575,0.24079905138479188,False,False
4,chair,41,35,panel,152,1233,163,0.12327656123276562,0.9325153374233128,0.12218649517684887,0.05108556832694764,0.2851385930599338,False,False
4,chair,42,36,switch,46,1233,47,0.0373073803730738,0.9787234042553191,0.03727714748784441,0.01532567049808429,0.27550269337073025,False,False
5,picture,3,61,chair,453,4747,9842,0.09542869180535075,0.04602723023775655,0.032045840407470286,0.03224428490719433,1.7880808600437714,True,False
5,picture,4,10,ceiling,3189,4747,26753,0.6717927111860122,0.11920158486898666,0.11264172936314507,0.08716816663836531,0.3901041118464619,False,False
5,picture,5,14,undefined,1412,4747,1893,0.2974510216979145,0.745905969360803,0.2700841622035195,0.1492063492063492,0.596297450723236,False,False
5,picture,6,21,lamp,130,4747,692,0.02738571729513377,0.18786127167630057,0.02448672066302505,0.011774600504625737,1.0855988170972188,True,False
5,picture,7,37,lamp,364,4747,774,0.07668000842637455,0.4702842377260982,0.07058367267791352,0.03221500721500722,0.7870239177937917,True,False
5,picture,8,40,undefined,23,4747,50,0.00484516536760059,0.46,0.004817762882279012,0.001443001443001443,0.7057556849918605,False,False
5,picture,10,54,undefined,72,4747,75,0.015167474194227933,0.96,0.015157894736842105,0.002405002405002405,0.12605752448999488,False,False
5,picture,11,64,tablet,2,4747,223,0.0004213187276174426,0.008968609865470852,0.00040257648953301127,0.0013260305563562987,1.3544778834232907,False,False
5,picture,16,48,undefined,58,4747,91,0.012218243100905836,0.6373626373626373,0.012133891213389121,0.002405002405002405,0.5370665263923623,False,False
5,picture,21,4,chair,4465,4747,32812,0.9405940594059405,0.1360782640497379,0.1349187163836345,0.02699055330634278,1.0097597914921226,True,False
5,picture,34,58,table,3659,4747,26897,0.7708026121761112,0.13603747629847196,0.13074861532964088,0.031132075471698113,1.4882302853111846,True,False
5,picture,47,55,undefined,38,4747,42,0.008005055824731409,0.9047619047619048,0.00799831614396969,0.0012025012025012026,0.9295527439964153,False,False
6,storage bin,23,5,rug,609,678,15001,0.8982300884955752,0.04059729351376575,0.04041141340411413,0.005974307521410399,0.8838694585932363,False,False
7,stuffed animal,2,24,wall,28,1542,16381,0.018158236057068743,0.0017092973566937306,0.0015646828723107013,0.01609216672835122,1.8325574800990532,False,False
7,stuffed animal,23,5,rug,97,1542,15001,0.062905317769131,0.00646623558429438,0.005898090721148,0.027670476941269215,1.2225491555465802,False,False
7,stuffed animal,24,63,floor,242,1542,1678,0.1569390402075227,0.14421930870083433,0.08126259234385494,0.3025,0.37165135063403204,False,False
7,stuffed animal,32,0,unknown,358,1542,6742,0.23216601815823606,0.053099970335212104,0.04516780217007318,0.03694109373766657,1.4304460010141613,False,False
8,power outlet,23,5,rug,53,55,15001,0.9636363636363636,0.003533097793480435,0.003532626807971739,0.00016124986562511198,0.9188608859063564,False,False
8,power outlet,32,0,unknown,45,55,6742,0.8181818181818182,0.006674577276772471,0.006664691943127962,0.00021527443903069095,2.0820027960220737,False,False
9,mat,2,24,wall,419,578,16381,0.7249134948096886,0.025578414016238324,0.02533252720677146,0.0015989766549408379,0.9377694183968597,False,False
9,mat,21,4,chair,527,578,32812,0.9117647058823529,0.01606119712300378,0.016036271795027843,0.000405702160088125,1.8879103265692145,True,False
10,potted plant,21,4,chair,59,151,32812,0.39072847682119205,0.0017981226380592466,0.0017930950644298566,0.000327158221895064,3.1218823841738668,True,False
11,potted plant,9,44,desk-organizer,1336,2883,3540,0.46340617412417623,0.37740112994350283,0.26263023392962453,0.25125620681209226,0.4797456229980175,False,False
11,potted plant,23,5,rug,1784,2883,15001,0.6187998612556365,0.1189254049730018,0.11080745341614907,0.13353101372415524,0.5957435686870465,False,False
11,potted plant,32,0,unknown,2,2883,6742,0.000693721817551162,0.0002966478789676654,0.0002078353943676608,0.03736930220804246,2.444753473017394,False,False
12,sofa chair,3,61,chair,283,8716,9842,0.03246902248737953,0.028754318228002437,0.015485636114911081,0.10591219388262325,2.633359689651197,True,True
12,sofa chair,4,10,ceiling,849,8716,26753,0.09740706746213859,0.03173475871864838,0.024523396880415944,0.05936885636321501,2.79823404910616,False,False
12,sofa chair,12,8,wall,2198,8716,14485,0.25217989903625515,0.15174318260269243,0.1046517164214636,0.10178534007490518,1.8674203614957776,False,False
12,sofa chair,18,51,wall,2298,8716,8254,0.26365305185865073,0.27841046765204747,0.1566248636859324,0.3161573365604515,1.0156909829907341,False,False
12,sofa chair,21,4,chair,1535,8716,32812,0.17611289582377238,0.046781665244422774,0.03838171680044008,0.08064946452117691,2.336633323910291,True,True
12,sofa chair,32,0,unknown,1218,8716,6742,0.13974300137677834,0.18065855829130822,0.08553370786516853,0.12539857516906816,1.5489090668812227,False,False
12,sofa chair,34,58,table,5584,8716,26897,0.64066085360257,0.20760679629698478,0.18595357820773253,0.10369842391150128,1.3983460664164014,True,False
12,sofa chair,35,7,sofa,2285,8716,3987,0.26216154199173936,0.5731126160020065,0.21933192551353425,0.2839415337671479,0.2942947326003685,True,True
12,sofa chair,36,9,sofa,2634,8716,10651,0.30220284534189995,0.24730072293681343,0.157413494292715,0.10062504079900776,1.0930613726221363,True,True
12,sofa chair,39,52,other-leaf,4,8716,67,0.0004589261128958238,0.05970149253731343,0.00045563275999544367,0.0014606279998174215,1.6482115652747762,False,False
16,floor,1,16,door,2,3452,3535,0.0005793742757821553,0.0005657708628005657,0.0002863278453829635,0.07526178010471204,1.843302136106235,True,False
16,floor,18,51,wall,273,3452,8254,0.0790845886442642,0.03307487278895081,0.023878247179218052,0.016853102054895777,2.1632596246878086,False,False
16,floor,23,5,rug,49,3452,15001,0.014194669756662804,0.0032664489034064394,0.0026624646815909584,0.014979510662240875,2.131375900591772,False,False
16,floor,32,0,unknown,821,3452,6742,0.23783314020857474,0.12177395431622665,0.08759201963085458,0.023965481204898664,0.7335136710236616,False,False
16,floor,35,7,sofa,208,3452,3987,0.06025492468134415,0.05216955104088287,0.028765039413635736,0.017481445132797646,1.8450250740178378,True,False
16,floor,37,34,bin,145,3452,379,0.04200463499420626,0.38258575197889183,0.03933803581117743,0.02323635427394439,1.0151607323892542,False,False
16,floor,43,19,bin,47,3452,475,0.013615295480880649,0.09894736842105263,0.01211340206185567,0.027030505856609603,0.9584014950232671,False,False
16,floor,44,18,wall,2,3452,206,0.0005793742757821553,0.009708737864077669,0.0005470459518599562,0.013523956723338485,0.9559843217795818,False,False
18,window,12,8,wall,548,3446,14485,0.15902495647127105,0.03783224024853297,0.03152505321290917,0.06256598756500997,2.0071611599652073,False,False
18,window,32,0,unknown,704,3446,6742,0.20429483459082995,0.10442005339661821,0.07423028258118937,0.05911981985541026,2.1910508121934447,False,False
18,window,34,58,table,2088,3446,26897,0.6059199071387116,0.07762947540617912,0.07389842505751194,0.037418494368701836,2.037392503932208,True,False
18,window,35,7,sofa,28,3446,3987,0.00812536273940801,0.007022824178580386,0.0037812288993923026,0.011051011271786192,1.4708587169601142,True,False
18,window,36,9,sofa,2003,3446,10651,0.58125362739408,0.18805745939348417,0.1656193153629899,0.14582090541525816,1.2257339204263191,True,False
19,power outlet,32,0,unknown,8,8,6742,1.0,0.0011865915158706616,0.0011865915158706616,1.0763721951534549e-05,0.9664342385305909,False,False
19,power outlet,35,7,sofa,6,8,3987,0.75,0.0015048908954100827,0.0015041363750313362,7.608034083992696e-05,0.6494327874900153,True,False
20,person,2,24,wall,179,372,16381,0.48118279569892475,0.010927293816006349,0.010800048268372149,0.0019688311024175713,1.432693669425165,False,False
20,person,4,10,ceiling,360,372,26753,0.967741935483871,0.013456434792359735,0.013450401643937978,0.002075432539008698,1.6503244740045364,False,False
20,person,21,4,chair,326,372,32812,0.8763440860215054,0.009935389491649396,0.009921480309209325,0.00064263222157959,1.6089304234928798,True,False
21,pillow,12,8,wall,316,318,14485,0.9937106918238994,0.021815671384190542,0.02181265962587147,0.006430053563673213,0.8209084658441667,False,False
21,pillow,21,4,chair,260,318,32812,0.8176100628930818,0.00792393026941363,0.007909948281107393,0.0008649570053078825,2.4647110505697634,True,False
21,pillow,34,58,table,294,318,26897,0.9245283018867925,0.010930587054318326,0.010920842464990156,0.0009976789457921533,0.937203874802499,True,False
21,pillow,36,9,sofa,313,318,10651,0.9842767295597484,0.029386912027039715,0.029373123123123124,0.006840173506840174,1.0215892571868623,True,False
22,person,12,8,wall,75,79,14485,0.9493670886075949,0.0051777701070072485,0.005176340672234108,0.0005790667374414902,0.2624333513719767,False,False
22,person,21,4,chair,29,79,32812,0.3670886075949367,0.0008838229915884432,0.0008824782423467835,7.789481473692e-05,2.500923472737539,True,False
22,person,34,58,table,77,79,26897,0.9746835443037974,0.002862772799940514,0.0028625599464664115,8.984725965858041e-05,0.945232202560325,True,False
22,person,36,9,sofa,77,79,10651,0.9746835443037974,0.0072293681344474696,0.007228010888951469,0.000616000616000616,0.8315073218436301,True,False
23,vent,2,24,wall,4,164,16381,0.024390243902439025,0.00024418533667053293,0.00024182334804425366,0.00040920402145252084,1.706751844481806,False,False
23,vent,4,10,ceiling,51,164,26753,0.31097560975609756,0.0019063282622509626,0.0018983101317650562,0.0006037621931661666,1.728237224885155,False,False
23,vent,33,17,vent,150,164,833,0.9146341463414634,0.18007202881152462,0.1770956316410862,0.059234882764294526,0.13904650960777895,False,False
24,ceiling,2,24,wall,2563,8895,16381,0.28813940415964023,0.15646175447164398,0.1128428653194206,0.025593168765887915,2.2502149302121692,False,False
24,ceiling,4,10,ceiling,3606,8895,26753,0.40539629005059025,0.13478862183680335,0.11253979152362524,0.015507335965288215,1.6153346346068238,False,False
24,ceiling,12,8,wall,1352,8895,14485,0.15199550309162452,0.09333793579565067,0.06137642999818413,0.015539692696344433,2.5213475605425346,False,False
24,ceiling,21,4,chair,4,8895,32812,0.00044969083754918494,0.00012190661952944045,9.591636093326619e-05,0.011924591326835269,1.9854277900180666,True,False
24,ceiling,26,42,undefined,225,8895,2127,0.025295109612141653,0.10578279266572638,0.020839121978327314,0.039871982931057474,2.320175444125239,False,False
24,ceiling,27,22,indoor-plant,277,8895,293,0.031141090500281056,0.9453924914675768,0.03108517562563124,0.015827642792864326,1.418854616721664,True,False
24,ceiling,48,56,pillar,41,8895,45,0.004609331084879146,0.9111111111111111,0.00460725924261153,0.0011833046471600688,1.3747446658384126,False,False
24,ceiling,49,26,wall,772,8895,829,0.0867903316469927,0.9312424607961399,0.08623771224307418,0.07938898450946644,0.17766408625028818,False,False
24,ceiling,50,20,blinds,548,8895,678,0.061607644744238334,0.8082595870206489,0.0607202216066482,0.042598967297762476,0.21852060404635543,True,False
24,ceiling,51,23,plant-stand,43,8895,53,0.004834176503653738,0.8113207547169812,0.004828747894441325,0.0021514629948364886,1.4105520861286518,True,False
25,sofa chair,2,24,wall,127,21999,16381,0.0057729896813491525,0.007752884439289421,0.003320001045669621,0.18644175983876032,2.1197178914855197,False,False
25,sofa chair,3,61,chair,1879,21999,9842,0.08541297331696895,0.1909164803901646,0.06271276950804353,0.16823632128791052,2.161553672747161,True,True
25,sofa chair,4,10,ceiling,4077,21999,26753,0.18532660575480703,0.152394124023474,0.09125909345271405,0.20111376530866115,2.779474980279451,False,False
25,sofa chair,9,44,desk-organizer,1013,21999,3540,0.04604754761580072,0.2861581920903955,0.041303106906955885,0.042050543836775374,2.358690753491128,False,False
25,sofa chair,11,64,tablet,60,21999,223,0.002727396699849993,0.26905829596412556,0.0027073368829528023,0.0012695994413762458,3.1879597267273123,False,False
25,sofa chair,12,8,wall,2483,21999,14485,0.11286876676212555,0.17141870900932,0.07302726390400283,0.10138854905798875,2.953494801968496,False,False
25,sofa chair,18,51,wall,2252,21999,8254,0.10236828946770307,0.27283741216379936,0.08042569908217563,0.08897339085170802,1.5937933680877951,False,False
25,sofa chair,20,66,tv-screen,170,21999,2704,0.007727623982908314,0.0628698224852071,0.006929441976113806,0.011324826215394077,2.28875932066434,True,False
25,sofa chair,21,4,chair,5689,21999,32812,0.2586026637574435,0.17338168962574668,0.11581368836773746,0.6043145316426354,2.104303669976506,True,True
25,sofa chair,23,5,rug,2978,21999,15001,0.135369789535888,0.19852009866008932,0.0875315972018106,0.2585995887044189,1.859702165069167,False,False
25,sofa chair,25,12,table,224,21999,1880,0.010182281012773308,0.11914893617021277,0.009469456774466286,0.008776796138209699,2.0057445405294962,True,False
25,sofa chair,34,58,table,5246,21999,26897,0.23846538479021773,0.19504033907127188,0.12018327605956472,0.641202439106321,2.336575274781436,True,False
25,sofa chair,36,9,sofa,789,21999,10651,0.03586526660302741,0.07407755140362407,0.0247638178337152,0.11118162666542307,2.441421155910872,True,True
25,sofa chair,39,52,other-leaf,66,21999,67,0.0030001363698349925,0.9850746268656716,0.003,0.00014351993685122777,2.9350530605288814,False,False
26,blinds,0,15,blinds,2165,2165,2165,1.0,1.0,1.0,1.0,0.0,True,True
26,blinds,1,16,door,1817,2165,3535,0.8392609699769054,0.514002828854314,0.4679371619881535,0.6222222222222222,0.11923631010077827,True,False
26,blinds,2,24,wall,543,2165,16381,0.25080831408775983,0.03314815945302484,0.030161639726712215,0.00706672343159274,1.4904423979962313,False,False
26,blinds,3,61,chair,438,2165,9842,0.2023094688221709,0.04450314976630766,0.03785979773532717,0.01611228222456445,0.9145270862719503,True,False
26,blinds,4,10,ceiling,240,2165,26753,0.11085450346420324,0.008970956528239824,0.008368784434060953,0.0018551832696199685,2.3021773015388454,False,False
26,blinds,18,51,wall,83,2165,8254,0.03833718244803695,0.01005573055488248,0.008030185758513933,0.0038008763131499763,1.5580892491560627,False,False
26,blinds,21,4,chair,613,2165,32812,0.28314087759815243,0.01868218944288675,0.01783843557211035,0.002699055330634278,1.476777788646448,True,False
26,blinds,23,5,rug,660,2165,15001,0.30484988452655887,0.04399706686220919,0.039985459832788076,0.0034450606075477255,2.411990396818342,False,False
26,blinds,24,63,floor,194,2165,1678,0.08960739030023095,0.11561382598331346,0.053165250753631134,0.02193440568205557,1.0914488172790004,False,False
26,blinds,44,18,wall,50,2165,206,0.023094688221709007,0.24271844660194175,0.021542438604049977,0.013831258644536652,1.0086166361090074,False,False
27,tissue-paper,4,10,ceiling,271,1274,26753,0.21271585557299844,0.010129705079804135,0.009763654705288947,0.03283202928617012,2.211923251064913,False,False
27,tissue-paper,12,8,wall,1047,1274,14485,0.8218210361067504,0.0722816706938212,0.07116639477977162,0.12397131719524519,0.6518828995770608,False,False
27,tissue-paper,21,4,chair,329,1274,32812,0.25824175824175827,0.010026819456296477,0.009746126729270966,0.01708492936563112,2.5874451916050893,True,False
27,tissue-paper,34,58,table,1078,1274,26897,0.8461538461538461,0.04007881919916719,0.03978887535525782,0.019706498951781972,1.3670655974985708,True,False
27,tissue-paper,36,9,sofa,263,1274,10651,0.206436420722135,0.024692517134541358,0.02255187789401475,0.12540397485813165,1.5310071962296792,True,False
27,tissue-paper,38,28,tissue-paper,1274,1274,1274,1.0,1.0,1.0,1.0,0.0,False,False
27,tissue-paper,46,1,anonymize_text,491,1274,501,0.38540031397174257,0.9800399201596807,0.382398753894081,0.5173252279635259,0.05456848139008124,False,False
