predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
33,pillow,7205,11,table,0.2717523763100171,0.30950728660652327,0.6901887960383782,0.3933379597501735,26,23,13
34,coffee table,2664,78,lamp,0.3733681462140992,0.4294294294294294,0.7409326424870466,0.44894894894894893,8,6,4
35,cup,306,78,lamp,0.10184633710541989,0.5588235294117647,0.11075129533678757,0.5588235294117647,3,3,3
36,sofa chair,92,19,blinds,0.026647144948755492,0.9891304347826086,0.026654950205038077,0.9891304347826086,1,1,1
37,bottle,27,78,lamp,0.013548387096774193,0.7777777777777778,0.013601036269430052,0.7777777777777778,2,2,2
38,armchair,3026,19,blinds,0.8285065303804656,0.9643093192333113,0.8547158758055068,0.9643093192333113,1,1,1
39,blinds,11342,15,blinds,0.36318013734812465,0.363692470463763,0.9961361989857522,0.38070886968788575,10,8,5
40,pillow,90,19,blinds,0.025460930640913083,0.9666666666666667,0.025483304042179262,0.9666666666666667,1,1,1
41,pillow,402,19,blinds,0.11188811188811189,0.9552238805970149,0.11247803163444639,0.9552238805970149,1,1,1
42,lamp,13,60,rug,0.0017588959545393045,1.0,0.0017588959545393045,1.0,1,1,1
43,potted plant,511,78,lamp,0.10662358642972536,0.38747553816046965,0.12823834196891193,0.38747553816046965,3,3,3
44,ceiling,25121,63,picture,0.28693757406628695,0.29879383782492736,0.8785112359550562,0.4092193782094662,7,5,4
45,coffee table,766,21,blinds,0.12738386308068458,0.6801566579634465,0.13550065019505853,0.6801566579634465,6,6,5
46,radiator,1560,74,chair,0.16637443989869471,0.5474358974358975,0.1929071606053761,0.5474358974358975,5,5,5
47,chair,99,,,0.0,0.0,0.0,0.0,0,0,0
48,armchair,3076,64,vent,0.029802397149335923,0.02990897269180754,0.8932038834951457,0.02990897269180754,1,1,0
49,pillow,67,,,0.0,0.0,0.0,0.0,0,0,0
50,pillow,434,,,0.0,0.0,0.0,0.0,0,0,0
51,pillow,6958,83,lamp,0.06124746678675974,0.1172750790457028,0.1136331987188414,0.5776085081920092,2,2,2
52,lamp,562,,,0.0,0.0,0.0,0.0,0,0,0
53,pillow,151,83,lamp,0.002050020500205002,0.09933774834437085,0.0020888455646845844,0.609271523178808,2,2,2
54,pillow,575,88,ceiling,0.004891068372793911,0.6660869565217391,0.004903090355122001,0.6660869565217391,2,2,2
55,book,305,78,lamp,0.11857229280096794,0.6426229508196721,0.12694300518134716,0.6459016393442623,4,3,3
56,lamp,7,88,ceiling,8.961261745653788e-05,1.0,8.961261745653788e-05,1.0,1,1,1
57,book,603,,,0.0,0.0,0.0,0.0,0,0,0
58,lamp,10,83,lamp,0.001392563709789723,1.0,0.001392563709789723,1.0,2,2,2
59,lamp,74,83,lamp,0.0054046563192904655,0.527027027027027,0.0054309984681799196,0.918918918918919,3,3,3
60,lamp,293,83,lamp,0.018950238582140424,0.47440273037542663,0.019356635566077147,0.9590443686006825,2,2,2
61,sofa chair,12,26,window,0.0030902348578491965,0.4166666666666667,0.0031036623215394167,0.4166666666666667,1,1,1
62,book,220,,,0.0,0.0,0.0,0.0,0,0,0
63,end table,1563,83,lamp,0.2114159046827376,0.9763275751759437,0.2125052221139117,0.9763275751759437,2,2,2
64,power outlet,113,83,lamp,0.01193118756936737,0.7610619469026548,0.011976047904191617,0.8849557522123894,2,2,2
65,lamp,184,83,lamp,0.011675824175824176,0.46195652173913043,0.011836791533212645,0.8532608695652174,2,2,2
66,floor,1439,83,lamp,0.13795379537953795,0.7261987491313412,0.14552290767302603,0.7810979847116053,7,6,6
67,lamp,61,83,lamp,0.006112809113642679,0.7213114754098361,0.006127280323074781,0.9180327868852459,2,2,2
68,end table,573,86,blanket,0.2143658810325477,0.6666666666666666,0.24010056568196103,0.8464223385689355,9,8,8
69,lamp,85,83,lamp,0.010710808179162609,0.9058823529411765,0.010722740565380867,0.9647058823529412,2,2,2
70,lamp,104,83,lamp,0.009142540518077296,0.6346153846153846,0.009190920484612172,0.875,3,3,3
71,blinds,20955,88,ceiling,0.20604061160888196,0.8076831305177762,0.2166705072074148,0.8076831305177762,3,3,3
72,cushion,570,13,cushion,1.0,1.0,1.0,1.0,15,15,15
