absolute_clean_gate_pass,bbox_iou_0p025,bbox_iou_0p05,bbox_iou_0p10,case_key,center_distance_m_0p025,center_distance_m_0p05,center_distance_m_0p10,coverage_0p025,coverage_0p05,coverage_0p10,entity_type,first_frame,first_mask_idx,gt_instance_id,gt_label,gt_voxels_0p025,gt_voxels_0p05,gt_voxels_0p10,last_frame,map_label,maximum_coverage_0p025,maximum_coverage_0p05,maximum_coverage_0p10,maximum_purity_0p025,maximum_purity_0p05,maximum_purity_0p10,median_maximum_coverage,median_maximum_purity,median_total_gt_support,median_voxel_iou,minimum_coverage,minimum_overlap_gt_count_purity_0p05,minimum_overlap_prediction_count_coverage_0p05,minimum_purity,observation_count,overlap_gt_count_purity_0p05_0p025,overlap_gt_count_purity_0p05_0p05,overlap_gt_count_purity_0p05_0p10,overlap_prediction_count_coverage_0p05_0p025,overlap_prediction_count_coverage_0p05_0p05,overlap_prediction_count_coverage_0p05_0p10,phenomenon,predicted_index,predicted_label,predicted_uuid,predicted_voxels_0p025,predicted_voxels_0p05,predicted_voxels_0p10,purity_0p025,purity_0p05,purity_0p10,rank_within_scene_phenomenon,scene_id,stable_score,total_gt_support_0p025,total_gt_support_0p05,total_gt_support_0p10,voxel_iou_0p025,voxel_iou_0p05,voxel_iou_0p10
,,,,room0:gt:26:fragmentation,,,,,,,gt_instance,133,12,26,window,1611.0,523.0,167.0,135,coffee table,0.11793916821849783,0.16443594646271512,0.1497005988023952,,,,0.1497005988023952,,,,,,3.0,,3,,,,3.0,3.0,3.0,fragmentation,45,coffee table,dc9ecf53-f93f-44d4-ad77-e9650b0f03f0,,,,,,,2,room0,2.5066921606118546,,,,,,
,,,,room0:gt:89:fragmentation,,,,,,,gt_instance,123,16,89,wall,10608.0,2854.0,804.0,343,blinds,0.19523001508295626,0.21163279607568325,0.18407960199004975,,,,0.19523001508295626,,,,,,3.0,,252,,,,3.0,4.0,5.0,fragmentation,39,blinds,d1405e49-08b0-41f2-9caa-e467043a7e92,,,,,,,3,room0,2.3651016117729506,,,,,,
,,,,office0:gt:15:incompleteness,,,,,,,gt_instance,,,15,blinds,2165.0,507.0,141.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,incompleteness,,,,,,,,,,1,office0,1.0,,,,,,
,,,,office0:gt:1:incompleteness,,,,,,,gt_instance,,,1,anonymize_text,501.0,173.0,55.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,incompleteness,,,,,,,,,,2,office0,1.0,,,,,,
,,,,office0:gt:28:incompleteness,,,,,,,gt_instance,,,28,tissue-paper,1274.0,364.0,109.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,incompleteness,,,,,,,,,,3,office0,1.0,,,,,,
,,,,room0:gt:13:incompleteness,,,,,,,gt_instance,,,13,cushion,570.0,156.0,46.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,incompleteness,,,,,,,,,,1,room0,1.0,,,,,,
,,,,room0:gt:30:incompleteness,,,,,,,gt_instance,,,30,blinds,86.0,31.0,13.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,incompleteness,,,,,,,,,,2,room0,1.0,,,,,,
,,,,room0:gt:3:incompleteness,,,,,,,gt_instance,,,3,book,121.0,38.0,12.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,incompleteness,,,,,,,,,,3,room0,1.0,,,,,,
False,0.2839415337671479,0.283203125,0.2878684030157642,office0:pair:21:7:relative_control,0.2942947326003685,0.2795945077699648,0.32036807302173065,0.5731126160020065,0.6317335945151812,0.635036496350365,prediction_gt_pair,63,0,7,sofa,,,,329,sofa chair,,,,,,,,,,0.22607781282860148,0.5731126160020065,,,0.26039563988696,272,,,,,,,relative_clean_control,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,,,,0.26216154199173936,0.26039563988696,0.2740157480314961,1,office0,0.6360860534580175,,,,0.21933192551353425,0.22607781282860148,0.23673469387755103
False,0.3030012694914848,0.3203285420944558,0.3611111111111111,office0:pair:4:66:relative_control,0.6942641246462293,0.6767038034699477,0.6888818626067458,0.5388313609467456,0.5917843388960206,0.5991902834008097,prediction_gt_pair,0,7,66,tv-screen,,,,399,tv,,,,,,,,,,0.2650948821161587,0.5388313609467456,,,0.27521722704949,159,,,,,,,relative_clean_control,4,tv,9ee2b22c-1b4c-4162-ba8c-21a346dfaba6,,,,0.27521722704949,0.32441942294159043,0.38642297650130547,2,office0,0.6297731091639945,,,,0.22274881516587677,0.2650948821161587,0.3070539419087137
False,0.18621088193456614,0.37908037908037906,0.3643724696356275,room0:pair:39:15:relative_control,0.4243611966759125,0.4039591569714124,0.4609772228646444,0.9961361989857522,1.0,1.0,prediction_gt_pair,123,16,15,blinds,,,,343,blinds,,,,,,,,,,0.36318013734812465,0.9961361989857522,,,0.35857238158772514,252,,,,,,,relative_clean_control,39,blinds,d1405e49-08b0-41f2-9caa-e467043a7e92,,,,0.363692470463763,0.35857238158772514,0.3643724696356275,1,room0,1.035926671874464,,,,0.36318013734812465,0.35857238158772514,0.3643724696356275
False,0.2755778006771677,0.28169014084507044,0.3333333333333333,room0:pair:31:72:relative_control,0.2876908342469288,0.2796164886658292,0.27387203700488544,0.2902097902097902,0.3404255319148936,0.3779527559055118,prediction_gt_pair,111,1,72,cushion,,,,351,pillow,,,,,,,,,,0.2829076620825147,0.2902097902097902,,,0.5763888888888888,225,,,,,,,relative_clean_control,31,pillow,749f087c-3ccc-4137-a3e8-dfddd3380fda,,,,0.5763888888888888,0.6260869565217392,0.7384615384615385,2,room0,0.6724924231228265,,,,0.23919308357348704,0.2829076620825147,0.3333333333333333
,0.25125620681209226,0.26085001124353496,0.25906735751295334,office0:pair:20:44:semantic,0.4797456229980175,0.48949818675429313,0.5085770873584647,0.37740112994350283,0.42884990253411304,0.519298245614035,prediction_gt_pair,55,1,44,desk-organizer,,,,383,potted plant,,,,,,,,,,0.28405422853453843,0.37740112994350283,,,0.4569055036344756,5,,,,,,,semantic_mismatch,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,,,,0.46340617412417623,0.4569055036344756,0.46835443037974683,1,office0,0.47120689232411916,,,,0.26263023392962453,0.28405422853453843,0.32671081677704195
,0.14582090541525816,0.15855519755808037,0.17397769516728626,office0:pair:28:9:semantic,1.2257339204263191,1.4247001738408802,1.4388029067529242,0.18805745939348417,0.2555944055944056,0.2857142857142857,prediction_gt_pair,87,7,9,sofa,,,,87,window,,,,,,,,,,0.2037914691943128,0.18805745939348417,,,0.49406175771971494,1,,,,,,,semantic_mismatch,28,window,803f469d-7639-4541-a1d9-e7b503dfdda3,,,,0.58125362739408,0.5013717421124828,0.49406175771971494,2,office0,0.3361491196412897,,,,0.1656193153629899,0.2037914691943128,0.22104144527098832
,1.0,1.0,1.0,room0:pair:38:19:semantic,0.009084144638840079,0.013294216779417826,0.02040593313149569,0.8547158758055068,0.8504772004241782,0.9037656903765691,prediction_gt_pair,123,12,19,blinds,,,,354,armchair,,,,,,,,,,0.8380355276907001,0.8504772004241782,,,0.9643093192333113,426,,,,,,,semantic_mismatch,38,armchair,57077d42-317f-42d8-85ec-8c42f2c6fbc3,,,,0.9643093192333113,0.9828431372549019,0.9818181818181818,1,room0,1.282203160294838,,,,0.8285065303804656,0.8380355276907001,0.8888888888888888
,0.6084656084656085,0.6274509803921569,0.6222222222222222,room0:pair:28:43:semantic,0.04482205226735493,0.04738357386614286,0.04752158780094415,0.5672782874617737,0.596244131455399,0.6515151515151515,prediction_gt_pair,101,3,43,pot,,,,351,pillow,,,,,,,,,,0.46863468634686345,0.5672782874617737,,,0.6032520325203252,124,,,,,,,semantic_mismatch,28,pillow,9260cac3-0509-4ce5-9327-ea6648bcd116,,,,0.6032520325203252,0.6864864864864865,0.7962962962962963,2,room0,0.7057728917995336,,,,0.4131403118040089,0.46863468634686345,0.5584415584415584
,0.4110726643598616,0.4090909090909091,0.45454545454545453,room0:pair:34:78:semantic,0.19129740060024156,0.19333894773940324,0.18471373928075574,0.7409326424870466,0.7687747035573123,0.8116883116883117,prediction_gt_pair,121,9,78,lamp,,,,384,coffee table,,,,,,,,,,0.4471264367816092,0.7409326424870466,,,0.4294294294294294,221,,,,,,,semantic_mismatch,34,coffee table,b4def565-4b99-4024-a5d6-e691e2c8cfd0,,,,0.4294294294294294,0.5166002656042497,0.5868544600938967,3,room0,0.6659586641932183,,,,0.3733681462140992,0.4471264367816092,0.5165289256198347
,,,,office0:pred:15:unsupported,,,,,,,prediction,30,6,,,,,,399,refrigerator,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,111,,,,,,,unsupported_prediction,15,refrigerator,84ce19e7-54b7-4cde-a9d6-5b4de113ed8e,7428.0,1990.0,541.0,,,,1,office0,1.0,0.0,0.0,0.0,,,
,,,,office0:pred:16:unsupported,,,,,,,prediction,35,4,,,,,,382,potted plant,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,5,,,,,,,unsupported_prediction,16,potted plant,e6680a1b-b804-4601-8d51-8ff31b1c5255,249.0,78.0,25.0,,,,2,office0,1.0,0.0,0.0,0.0,,,
,,,,office0:pred:23:unsupported,,,,,,,prediction,69,1,,,,,,120,paper bag,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,13,,,,,,,unsupported_prediction,23,paper bag,3c112d35-f177-4fae-8fde-d983c93e0169,781.0,200.0,64.0,,,,3,office0,1.0,0.0,0.0,0.0,,,
,,,,room0:pred:3:unsupported,,,,,,,prediction,0,6,,,,,,348,lamp,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,160,,,,,,,unsupported_prediction,3,lamp,7043cb82-a128-454a-b5b4-6852adbd54e6,648.0,184.0,57.0,,,,1,room0,1.0,0.0,0.0,0.0,,,
,,,,room0:pred:50:unsupported,,,,,,,prediction,140,5,,,,,,355,pillow,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,215,,,,,,,unsupported_prediction,50,pillow,e5c776a0-3e45-4bd4-a8be-c7b8600db837,434.0,108.0,38.0,,,,2,room0,1.0,0.0,0.0,0.0,,,
,,,,room0:pred:52:unsupported,,,,,,,prediction,146,12,,,,,,377,lamp,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,193,,,,,,,unsupported_prediction,52,lamp,5a160684-757a-4652-b7fb-672eb392c0d0,562.0,157.0,43.0,,,,3,room0,1.0,0.0,0.0,0.0,,,
