class_name,dominant_class_id,dominant_count,dominant_ratio,entropy_n5,entropy_persistent,event_sequence,frame_idx,gt_eligible_count,gt_member_count,is_background,label_count,minority_n5,minority_persistent,mixed_count,mixed_fraction,mixed_member_frames,num_observations,object_uid,operation,persistence_gate,persistent_alt_labels,raw_entropy,raw_frame,raw_minority_ratio,repeated_alt_count,repeated_alt_fraction,repeated_mixed,repeated_two_foreground,strict_member_frames,trace_updates,two_foreground_count,two_foreground_fraction
closet door,40,78,0.52,0.5786477719612787,0.5786477719612787,8481,399,150,150,False,6,0.48,0.48,56,0.37333333333333335,"[7, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 245, 248, 251, 252, 253, 254, 255, 256, 257, 259, 260, 261, 262, 264, 265, 266, 267, 268, 283, 348, 349, 350, 351, 352, 354, 357, 358, 359]",150,4df16046-1eb0-4804-9953-6cbde664ecf7,OBJECT_DENOISE,True,"[""108"", ""136"", ""42"", ""65""]",0.5786477719612787,1995,0.48,71,0.47333333333333333,True,True,"[13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 245, 248, 251, 252, 253, 254, 255, 256, 257, 259, 260, 261, 262, 264, 265, 266, 267, 268, 283, 348, 349, 350, 351, 352, 354, 357, 358, 359]",128,55,0.36666666666666664
potted plant,131,89,0.5114942528735632,0.6279087343635478,0.6279087343635478,8488,399,174,174,False,13,0.4885057471264368,0.4885057471264368,54,0.3103448275862069,"[27, 38, 49, 50, 52, 53, 54, 181, 190, 205, 206, 207, 208, 360, 361, 362, 363, 365, 366, 367, 368, 369, 371, 372, 374, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399]",174,4f96c051-9033-4d89-a6ff-b9b032fb53e7,OBJECT_DENOISE,True,"[""127"", ""141"", ""160"", ""165"", ""183"", ""184"", ""25""]",0.6279087343635478,1995,0.4885057471264368,80,0.45977011494252873,True,True,"[27, 38, 49, 50, 52, 53, 54, 205, 206, 207, 360, 361, 362, 363, 365, 366, 367, 368, 371, 372, 374, 388, 389, 390, 392, 393, 394, 395, 396, 397, 398]",150,31,0.1781609195402299
power outlet,132,136,0.9784172661870504,0.10729374739089234,0.10729374739089234,8498,399,139,139,False,3,0.021582733812949617,0.021582733812949617,128,0.920863309352518,"[72, 73, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136]",139,4fcfc3f0-9e5d-4eae-986c-327bbc5ddde6,OBJECT_DENOISE,True,"[""81""]",0.10729374739089234,1995,0.021582733812949617,2,0.014388489208633094,True,False,[],114,0,0.0
book,21,25,0.4166666666666667,0.7928348615612854,0.7928348615612854,8501,399,60,60,False,7,0.5833333333333333,0.5833333333333333,60,1.0,"[76, 78, 81, 84, 87, 134, 135, 152, 153, 154, 155, 158, 160, 162, 164, 169, 175, 177, 178, 179, 180, 181, 188, 190, 191, 275, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307]",60,50a12f89-a6e6-405d-a30a-4a3a65f379aa,OBJECT_DENOISE,True,"[""109"", ""128"", ""182"", ""24"", ""93""]",0.7928348615612854,1995,0.5833333333333333,34,0.5666666666666667,True,True,"[76, 78, 81, 84, 87, 134, 135, 152, 153, 154, 155, 158, 160, 162, 164, 169, 175, 177, 178, 179, 180, 181, 188, 190, 191, 275, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307]",102,60,1.0
power outlet,132,1,1.0,0.0,0.0,8503,399,1,1,False,1,0.0,0.0,0,0.0,[],1,5116df06-d064-4db7-a42f-80e34e1bbfe6,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],51,0,0.0
floor,76,1,1.0,0.0,0.0,8500,399,1,1,True,1,0.0,0.0,0,0.0,[],1,55be5528-fee8-4303-b16d-836394109587,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],63,0,0.0
picture,123,2,1.0,0.0,0.0,8485,399,2,2,False,1,0.0,0.0,0,0.0,[],2,6076d9d0-8548-4024-8243-0909139e15ca,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],75,0,0.0
paper bag,117,8,0.6153846153846154,0.7816596645276669,0.7816596645276669,8497,399,13,13,False,3,0.3846153846153846,0.3846153846153846,13,1.0,"[69, 73, 113, 114, 115, 116, 117, 118, 119, 120]",13,6f568afd-1979-4113-ab0b-460020526f85,OBJECT_DENOISE,True,"[""182""]",0.7816596645276669,1995,0.3846153846153846,4,0.3076923076923077,True,False,[],71,0,0.0
sofa chair,159,126,0.4632352941176471,0.5738608334341295,0.5738608334341295,8495,399,272,272,False,6,0.5367647058823529,0.5367647058823529,21,0.07720588235294118,"[75, 76, 153, 154, 155, 165, 166, 167, 260, 261, 263, 265, 268, 271, 287, 288, 289, 308, 319]",272,7ecc2d7e-7a1a-43cd-a2e8-d785bd9f6a8e,OBJECT_DENOISE,True,"[""125"", ""165"", ""53"", ""58""]",0.5738608334341295,1995,0.5367647058823529,145,0.5330882352941176,True,True,"[75, 76, 153, 154, 155, 165, 166, 167, 260, 261, 263, 265, 268, 271, 287, 288, 289, 308, 319]",216,21,0.07720588235294118
sofa chair,159,145,0.6041666666666666,0.6154682613599872,0.6154682613599872,8475,399,240,240,False,6,0.39583333333333337,0.39583333333333337,14,0.058333333333333334,"[248, 250, 252, 253, 254, 255, 256, 257, 258, 310, 312, 318]",240,9408f6d7-1187-411b-8653-cbb1f131e94e,OBJECT_DENOISE,True,"[""125"", ""14"", ""53"", ""58""]",0.6154682613599872,1995,0.39583333333333337,94,0.39166666666666666,True,True,"[248, 250, 252, 253, 254, 255, 256, 257, 258, 310, 312, 318]",185,14,0.058333333333333334
stuffed animal,170,79,0.5851851851851851,0.6768644478198432,0.6768644478198432,8487,399,135,135,False,8,0.41481481481481486,0.41481481481481486,0,0.0,[],135,9521aea7-4f40-4ea4-9073-f367ec07683f,OBJECT_DENOISE,True,"[""1"", ""159"", ""164"", ""3"", ""37"", ""58""]",0.6768644478198432,1995,0.41481481481481486,54,0.4,False,False,[],167,0,0.0
potted plant,131,5,1.0,0.0,0.0,8494,399,5,5,False,1,0.0,0.0,4,0.8,"[55, 56, 380, 383]",5,9c1f1a6c-1404-43fc-8350-64415c8d9404,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,True,False,[],70,0,0.0
storage bin,165,3,0.75,0.0,0.0,8486,399,4,4,False,2,0.0,0.0,0,0.0,[],4,b0c5ff79-3cf1-4fef-9a52-3c0feea6f6e5,OBJECT_DENOISE,False,[],0.8112781244591328,1995,0.25,0,0.0,False,False,[],73,0,0.0
person,121,1,1.0,0.0,0.0,8506,399,1,1,False,1,0.0,0.0,0,0.0,[],1,bafaa5d2-0d1c-4515-900e-d73c26db0260,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],25,0,0.0
trash bin,183,134,0.6473429951690821,0.7067190731915689,0.7067190731915689,8474,399,207,207,False,4,0.3526570048309179,0.3526570048309179,0,0.0,[],207,cb410e6f-3c06-46cf-a0f5-7aa5ac36206d,OBJECT_DENOISE,True,"[""16"", ""165"", ""184""]",0.7067190731915689,1995,0.3526570048309179,73,0.3526570048309179,False,False,[],187,0,0.0
speaker,160,2,1.0,0.0,0.0,8507,399,2,2,False,1,0.0,0.0,2,1.0,"[266, 272]",2,d1a5fa08-8697-4a59-be52-dfc02854c6de,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,True,False,[],26,0,0.0
power outlet,132,30,0.967741935483871,0.20559250818508307,0.0,8491,399,31,31,False,2,0.032258064516129004,0.0,0,0.0,[],31,d62e377d-6947-4b83-bb8f-bbcfb093bb34,OBJECT_DENOISE,False,[],0.20559250818508307,1995,0.032258064516129004,0,0.0,False,False,[],93,0,0.0
tv,187,141,0.8867924528301887,0.28723367606738764,0.28723367606738764,8478,399,159,159,False,6,0.1132075471698113,0.1132075471698113,155,0.9748427672955975,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 158, 160, 180, 181, 182, 183, 184, 186, 203, 204, 205, 206, 207, 208, 209, 210, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 275, 276, 277, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399]",159,df9277f6-f5a7-43c8-89b4-8964e6d822b3,OBJECT_DENOISE,True,"[""108"", ""121"", ""123"", ""136""]",0.28723367606738764,1995,0.1132075471698113,17,0.1069182389937107,True,True,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 158, 160, 180, 181, 182, 183, 184, 186, 203, 204, 205, 206, 207, 208, 209, 210, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 275, 276, 277, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399]",195,154,0.9685534591194969
power outlet,132,1,1.0,0.0,0.0,8496,399,1,1,False,1,0.0,0.0,0,0.0,[],1,ed7201aa-5e8f-4237-bd57-b20c68e294ec,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],65,0,0.0
chair,37,107,0.4349593495934959,0.6283395737741961,0.6283395737741961,8482,399,246,246,False,11,0.5650406504065041,0.5650406504065041,3,0.012195121951219513,[157],246,ee736686-114e-4adc-a5c2-a0774b32f41d,OBJECT_DENOISE,True,"[""113"", ""114"", ""159"", ""164"", ""58"", ""77""]",0.6283395737741961,1995,0.5650406504065041,135,0.5487804878048781,False,False,[157],189,3,0.012195121951219513
ceiling,35,8,1.0,0.0,0.0,8508,399,8,8,True,1,0.0,0.0,0,0.0,[],8,f61700ef-2b0c-44b6-a279-f0ffafc58eba,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],18,0,0.0
trash bin,183,130,0.4234527687296417,0.6872412516060208,0.6872412516060208,8476,399,307,307,False,9,0.5765472312703583,0.5765472312703583,1,0.003257328990228013,[248],307,fbbbec64-613e-4540-a262-119038d29bb2,OBJECT_DENOISE,True,"[""125"", ""142"", ""16"", ""165"", ""184"", ""27"", ""94""]",0.6872412516060208,1995,0.5765472312703583,176,0.5732899022801303,False,False,[248],199,1,0.003257328990228013
pillow,125,1,1.0,0.0,0.0,8505,399,1,1,False,1,0.0,0.0,0,0.0,[],1,fc4ac655-001a-4736-875f-d6afb83f5d4a,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],45,0,0.0
