audit_false_split_pair,audit_gt_instance_id,audit_gt_instance_label,audit_pair_evaluable,bbox_gap_voxels,contact_fraction_r1,contact_fraction_r2,duplicate_score_r1,duplicate_score_r2,exact_voxel_iou,gt_false_split_pair,gt_instance_id,gt_instance_label,label_hist_cosine,left_index,left_label,left_uid,min_distance_m,rank,right_index,right_label,right_uid,scene,voxel_size_m
False,,,False,0,0.8924050632911392,1.0,0.7350834693952085,0.8237105543577514,0.03881075307103436,False,,,0.8237105543577514,21,window,50c1f5da-99f0-4dc2-b075-31b2e43d000a,0.0,17,71,blinds,b802f3e3-2823-446b-a014-c4ed6b52d175,room0,0.05
False,,,False,0,1.0,1.0,0.6867333846673793,0.6867333846673793,0.04783599088838269,False,,,0.6867333846673793,11,book,0fa92eea-9420-4d2f-8a92-8c9bb5949927,0.0,18,12,cabinet,05a76b48-14a2-4f04-b6d7-cd3efeaad3f2,room0,0.05
False,,,False,0,0.6551724137931034,0.896551724137931,0.6539729504546165,0.8949103532536857,0.1,True,88,ceiling,0.9981692401675725,60,lamp,022f3839-1dd3-4a4a-9da5-3a7b4d8835b0,0.0,19,69,lamp,6797cfd0-932b-450c-83c8-ef8e732576cf,room0,0.05
False,,,False,0,1.0,1.0,0.5918165014525789,0.5918165014525789,0.05056179775280899,True,78,lamp,0.5918165014525789,37,bottle,9ea54507-25a6-47fd-b4be-bb87e06c9d3d,0.0,20,43,potted plant,021bed0f-46f2-4fdc-a30a-988405e910cb,room0,0.05
False,,,False,0,1.0,1.0,0.8954008823360452,0.8954008823360452,0.10686164229471316,True,5,rug,0.8954008823360452,12,storage bin,6d8a2ab3-581c-4cfa-a26f-4d2ca2783e47,0.0,1,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,office0,0.05
False,,,True,0,1.0,1.0,0.7709742858578941,0.7709742858578941,0.056842105263157895,True,4,chair,0.7709742858578941,4,tv,9ee2b22c-1b4c-4162-ba8c-21a346dfaba6,0.0,2,9,speaker,c4bd14d3-0681-4b6f-b5a6-0caddcae1b24,office0,0.05
False,,,True,0,0.7964693665628245,0.8681204569055037,0.7595417907316206,0.8278708436136047,0.31412103746397696,True,5,rug,0.9536359119616045,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,0.0,3,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.05
False,,,False,0,0.8833333333333333,0.9666666666666667,0.6523978348230439,0.7139448003723877,0.0757238307349666,False,,,0.7385635865921252,5,coffee table,6e93297f-d5b9-47be-b76d-dcbc7c95cea2,0.0,4,27,book,34cc3c17-2b1c-4c4d-b9e5-fd551e206815,office0,0.05
False,,,False,0,0.965,1.0,0.6473178682148522,0.6707957183573597,0.08792650918635171,False,,,0.6707957183573597,23,paper bag,3c112d35-f177-4fae-8fde-d983c93e0169,0.0,5,28,window,803f469d-7639-4541-a1d9-e7b503dfdda3,office0,0.05
False,,,False,0,0.5311704834605598,0.6507633587786259,0.5165683963662445,0.6328736161469078,0.1887844979448033,False,,,0.9725096036978877,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.0,6,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,office0,0.05
False,,,False,0,0.5368421052631579,0.8631578947368421,0.49753596309214826,0.7999597837952188,0.008469449485783424,False,,,0.9267826763481193,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.0,7,31,pillow,1bbcdac1-983a-480e-b589-d152c490f1b6,office0,0.05
False,,,True,0,0.33962264150943394,0.8113207547169812,0.3129962440896069,0.7477132497696166,0.0064516129032258064,False,,,0.9216000520416204,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,0.0,8,33,speaker,27c1ef8d-1a29-4f39-88a8-cdd6b7fe46d7,office0,0.05
False,,,False,0,0.7,0.9666666666666667,0.28914595866275355,0.39929680005808826,0.07083333333333333,False,,,0.4130656552325051,25,tissue box,e67ecfce-00ab-4f41-97e2-ab363fefea89,0.0,9,27,book,34cc3c17-2b1c-4c4d-b9e5-fd551e206815,office0,0.05
False,,,False,0,0.6649746192893401,0.9441624365482234,0.26333009992623413,0.3738885388265615,0.1111111111111111,False,,,0.3960002266066269,5,coffee table,6e93297f-d5b9-47be-b76d-dcbc7c95cea2,0.0,10,25,tissue box,e67ecfce-00ab-4f41-97e2-ab363fefea89,office0,0.05
False,,,False,0,0.24271844660194175,0.5048543689320388,0.22822397893534355,0.4747058761855146,0.004143646408839779,True,10,ceiling,0.9402827932136154,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,0.0,11,30,person,e3f817bd-6d7a-4e13-abe0-077769bee533,office0,0.05
False,,,False,0,0.22488038277511962,0.4880382775119617,0.2128972813646633,0.4620323978552267,0.03209876543209877,True,10,ceiling,0.946713442664141,0,trash bin,4d32d276-88ef-401e-9008-00043c5c2433,0.0,12,2,trash bin,a66971cb-acd9-4720-9778-9505861322ca,office0,0.05
False,,,False,0,1.0,1.0,0.1884390995209949,0.1884390995209949,0.004469987228607918,False,,,0.1884390995209949,6,power outlet,9936e87a-c6b9-419e-9727-762ac54652c1,0.0,13,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.05
False,,,False,0,0.18461538461538463,0.48205128205128206,0.13296995358734515,0.3471993232558456,0.0034662045060658577,True,5,rug,0.7202539152647861,12,storage bin,6d8a2ab3-581c-4cfa-a26f-4d2ca2783e47,0.0,14,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.05
False,,,False,0,0.5454545454545454,1.0,0.1027992454216963,0.1884652832731099,0.009174311926605505,True,10,ceiling,0.1884652832731099,2,trash bin,a66971cb-acd9-4720-9778-9505861322ca,0.0,15,6,power outlet,9936e87a-c6b9-419e-9727-762ac54652c1,office0,0.05
False,,,False,0,0.215311004784689,0.49282296650717705,0.09977286643596184,0.22836900539786822,0.010844748858447488,False,,,0.46338953522480053,0,trash bin,4d32d276-88ef-401e-9008-00043c5c2433,0.0,16,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.05
False,,,False,0,0.1722488038277512,0.3827751196172249,0.07679498297167271,0.17065551771482823,0.0056785917092561046,False,,,0.44583754002998877,2,trash bin,a66971cb-acd9-4720-9778-9505861322ca,0.0,17,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.05
False,,,False,0,0.05263157894736842,0.14736842105263157,0.050262721779353016,0.14073562098218845,0.0007782101167315176,False,,,0.9549917138077074,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.0,18,31,pillow,1bbcdac1-983a-480e-b589-d152c490f1b6,office0,0.05
False,,,False,0,0.06513693560325684,0.17838638045891933,0.024783858175572528,0.06787397523082932,0.008307372793354102,False,,,0.38048854994543735,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,0.0,19,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.05
False,,,False,0,0.04225352112676056,0.08642765685019206,0.011344301520508951,0.023204253110131946,0.006422607578676943,True,4,chair,0.2684818026520452,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.0,20,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.05
